Timestamp (ms),Wrist Gyroscope X (deg/s),Wrist Gyroscope Y (deg/s),Wrist Gyroscope Z (deg/s),Wrist Accelerometer X (g),Wrist Accelerometer Y (g),Wrist Accelerometer Z (g),Wrist Roll (deg),Wrist Pitch (deg),Wrist Yaw (deg),Arm Gyroscope X (deg/s),Arm Gyroscope Y (deg/s),Arm Gyroscope Z (deg/s),Arm Accelerometer X (g),Arm Accelerometer Y (g),Arm Accelerometer Z (g),Arm Roll (deg),Arm Pitch (deg),Arm Yaw (deg),Wrist Gyroscope Magnitude (deg/s),Wrist Accelerometer Magnitude (g),Arm Gyroscope Magnitude (deg/s),Arm Accelerometer Magnitude (g),Difference Roll (deg),Difference Pitch (deg),Difference Yaw (deg)
0.0,9.53843,11.690718,-2.495054,-0.939222,0.289382,0.097323,60.977192,69.895912,52.381046,3.299318,-5.012088,-1.059994,-0.995263,0.165445,-0.049283,100.188332,79.452591,-168.822495,15.29313011398713,0.9875989436694432,6.093448339397323,1.0101234089372446,39.21114,9.556679000000004,-221.203541
19.983,12.4435135,13.121341,-2.2687055000000003,-0.9303775,0.2798604999999999,0.0890015,61.5055275,70.000374,52.7681405,4.60173,-6.3748925,-1.4150655,-0.997091,0.162249,-0.0443295,99.8738785,79.489952,-169.2029805,18.225192523227115,0.975625675640381,7.988590848750892,1.0111776821371454,38.368351,9.489578000000002,-221.971121
39.965,16.842265333333334,14.450427,-2.042310666666667,-0.9324646666666668,0.281904,0.0930496666666666,62.144027666666666,70.103915,53.202959666666665,5.378099,-7.334621666666667,-1.4276303333333331,-0.9957876666666668,0.175193,-0.042179,99.50157666666668,79.518112,-169.64884466666666,22.285595681962626,0.9785798180345616,9.206451662589153,1.0119608353960368,37.357549000000006,9.414197,-222.85180433333332
59.948,19.8275465,15.133114,-1.7110975,-0.9376245,0.29253925,0.1074664999999999,62.82200625,70.19420825,53.64824475,5.2296325,-7.58000975,-1.521614,-0.98998725,0.179428,-0.0437325,99.14015,79.544771,-170.07476825,25.00141184415721,0.9880627330352372,9.33385842297532,1.0070658835959108,36.31814375,9.350562750000002,-223.723013
79.931,19.8700202,15.1007554,-1.8370676,-0.9349646,0.2962758,0.1051538,63.4668946,70.2823578,54.083616600000006,5.059810000000001,-7.0119882,-1.498348,-0.9803766,0.1790182,-0.0519561999999999,98.8825194,79.5673766,-170.3909212,25.024494675537543,0.9864053297571136,8.775802099075802,0.997940499467398,35.4156248,9.2850188,-224.4745378
99.913,21.3132044,16.121530200000002,-2.013236,-0.934426,0.293726,0.092957,64.735952,70.475882,54.9715012,5.342465,-6.9738736,-1.338516,-0.9738312,0.1809993999999999,-0.0541906,98.3547118,79.6114638,-171.0389894,26.79943165399945,0.9839044244239376,8.88642055876594,0.9919902267775424,33.61875980000001,9.1355818,-226.0104906
119.896,23.277831,16.7101254,-2.0176724,-0.9392024,0.2957638,0.0920276,66.0854278,70.665805,55.908909,5.6665976,-6.2719178,-1.0796338,-0.9706768,0.183954,-0.0574619999999999,97.9137894,79.64477079999999,-171.60563659999997,28.725541054295352,0.988962311070528,8.521319756492245,0.9896233655377382,31.8283616,8.978965800000001,-227.5145456
139.879,24.0609012,16.881908,-1.9932068,-0.941513,0.3052472,0.0946658,67.4696488,70.8422606,56.8720718,5.602469,-5.3929342,-0.9350288,-0.9722488,0.180283,-0.0556261999999999,97.5601258,79.67381599999999,-172.082248,29.46011978292335,0.9942757142596212,7.832348117794566,0.9903857649001626,30.090476999999996,8.8315554,-228.95431980000004
159.862,22.1509616,17.199586200000002,-2.2490066,-0.94336,0.3150656,0.0905178,68.844577,71.012805,57.870890800000005,5.9634174,-4.8896412,-0.7533582000000001,-0.9756198,0.1854944,-0.0484478,97.2411928,79.6948808,-172.5300874,28.1344787750324,0.998693093007156,7.748450601821466,0.9942783090806316,28.3966158,8.682075800000002,-230.4009782
179.844,20.16795,17.476199,-2.2087422,-0.949031,0.3138628,0.0906658,70.1993666,71.1777556,58.8997528,5.481823199999999,-4.3168748,-0.6767344000000001,-0.979174,0.1913348,-0.0407938,96.9480928,79.7101746,-172.9410218,26.777645168986798,1.0036881903631627,7.010261270671488,0.9985263452135252,26.7487262,8.532419,-231.8407746
199.827,19.2328208,17.0756892,-1.963399,-0.950743,0.3124014,0.0905934,71.5251342,71.3275618,59.926529,4.0377124,-3.4658358,-0.8507033999999999,-0.9807338,0.1937838,-0.0399032,96.7186692,79.72540599999999,-173.257904,25.794098030617587,1.0048452870439906,5.388769385717574,1.0004914857084592,25.193535,8.3978442,-233.184433
219.809,17.679171,16.3957498,-1.7933865999999998,-0.9551616,0.3163644,0.0910441999999999,72.7902482,71.46018360000001,60.9285942,2.0854538,-2.3677868,-0.9095704,-0.9801276,0.186188,-0.0397738,96.574524,79.74325100000001,-173.44873660000002,24.178294692730105,1.0103015203668455,3.2837250485911333,0.9984478147565852,23.7842758,8.283067399999998,-234.3773308
239.792,14.323411000000002,15.30596,-1.6523277999999997,-0.9591056,0.321599,0.0917737999999999,73.9300582,71.57448120000001,61.87427759999999,1.8780836,-0.9574056,-0.8001436,-0.9760012,0.187534,-0.0430882,96.589029,79.75387880000001,-173.4745574,21.027665142739316,1.0157420435911866,2.2547845289786075,0.99478838781757,22.6589708,8.179397599999998,-235.348835
259.775,11.528138,13.6041768,-1.5257185999999998,-0.9573488,0.3116223999999999,0.0781532,74.9363448,71.6773132,62.73995600000001,1.4503296000000003,0.7929519999999999,-0.6677192000000001,-0.974397,0.1869198,-0.0474752,96.79656359999998,79.75744319999998,-173.2960754,17.89691061046817,1.009818383529157,1.782716397240122,0.9932987565964632,21.860218799999995,8.080129999999997,-236.0360314
279.758,11.639218,12.339060800000002,-1.1808742,-0.9575016,0.308732,0.0659894,75.89646,71.7647034,63.5505776,0.7772202000000002,1.996471,-0.4002055999999999,-0.9805578,0.1814624,-0.0462738,97.113095,79.75640419999999,-172.99306339999998,17.00347849570335,1.0082060120525569,2.1794798038523777,0.9982802543980523,21.216635,7.9917007999999985,-236.54364100000004
