Timestamp (ms),Wrist Gyroscope X (deg/s),Wrist Gyroscope Y (deg/s),Wrist Gyroscope Z (deg/s),Wrist Accelerometer X (g),Wrist Accelerometer Y (g),Wrist Accelerometer Z (g),Wrist Roll (deg),Wrist Pitch (deg),Wrist Yaw (deg),Arm Gyroscope X (deg/s),Arm Gyroscope Y (deg/s),Arm Gyroscope Z (deg/s),Arm Accelerometer X (g),Arm Accelerometer Y (g),Arm Accelerometer Z (g),Arm Roll (deg),Arm Pitch (deg),Arm Yaw (deg),Wrist Gyroscope Magnitude (deg/s),Wrist Accelerometer Magnitude (g),Arm Gyroscope Magnitude (deg/s),Arm Accelerometer Magnitude (g),Difference Roll (deg),Difference Pitch (deg),Difference Yaw (deg)
0.0,65.071472,-137.73233,-24.196346,-0.739706,-0.346071,0.756669,-25.277889,38.139664,178.953873,4.361394,22.364538,-4.913103,-1.003537,-0.113163,-0.135066,-148.880264,78.940887,12.593335,154.2399246473733,1.1133184984711249,23.309502325560043,1.0188891987326196,-123.602375,40.801223,-166.360538
19.999,63.4233475,-138.7777405,-24.3224915,-0.7189209999999999,-0.3378615,0.7655620000000001,-24.3881445,36.7784655,179.400032,6.141731999999999,23.5801345,-5.349264,-0.9999525,-0.1166385,-0.13239,-149.134636,78.704212,12.2492435,154.51008335755523,1.103214835499981,24.94710885733275,1.015399750856036,-124.7464915,41.9257465,-167.1507885
39.969,61.76148866666667,-139.67810566666665,-24.09536933333333,-0.702468,-0.332093,0.777144,-23.552173666666665,35.406905,59.81324766666666,6.929228666666667,24.291763333333336,-5.781447666666668,-0.99499,-0.118768,-0.138703,-149.3667856666667,78.45642066666666,11.923796666666666,154.6125528806152,1.098953979204316,25.91387876949413,1.0116073646099062,-125.814612,43.04951566666667,-47.889451
59.953,59.66245475,-140.52452075,-23.659556,-0.68556225,-0.325567,0.78102725,-22.7738185,34.027257500000005,0.1996995000000012,8.026610250000001,25.63898525,-5.85523675,-0.9892295,-0.1204225,-0.1469405,-149.627407,78.188135,11.55350925,154.4879413706135,1.089033073582536,27.496687694223706,1.0073073476932202,-126.8535885,44.1608775,11.353809750000003
79.937,56.367830000000005,-141.1028442,-22.9777786,-0.6658032,-0.3199792,0.7927018,-22.069265,32.6420186,-35.43367,9.3222158,26.725480800000003,-5.835245,-0.9901718,-0.1229519999999999,-0.1570716,-149.893109,77.90590660000001,11.1584126,153.67277966389815,1.0835389855866375,28.899915495083437,1.010063797661217,-127.823844,45.263888,46.592082600000005
99.922,50.5771218,-142.36420299999995,-21.6573518,-0.6254862,-0.3072492,0.8128084,-20.6615132,29.8761128,-106.686316,12.336253200000002,28.7666022,-5.8010144,-0.9877216,-0.1291284,-0.1656641999999999,-150.40257259999998,77.3507508,10.3766356,152.625857679445,1.0706505276707428,31.83319514620803,1.0098082639564605,-129.7410594,47.474638000000006,117.0629516
119.906,43.5741504,-143.3738252,-20.3776758,-0.5855178000000001,-0.2949705999999999,0.8350522,-19.4546604,27.0916694,-177.9986756,14.4731816,31.2822034,-5.8859462,-0.9870208,-0.1301156,-0.1806357999999999,-150.9229826,76.7475082,9.53843,151.22833731338807,1.0616736436900185,34.96703587458972,1.0118149145163062,-131.46832220000002,49.655838800000005,187.5371056
139.89,35.879801,-144.1723512,-18.9164846,-0.546717,-0.291486,0.8462846,-18.455899,24.297743200000003,-177.35485239999997,15.6438552,33.1828302,-6.594917799999999,-0.9848258,-0.134608,-0.192253,-151.396121,76.1021256,8.7232752,149.7693572128751,1.0488380191822568,37.273628296549774,1.0124042601740868,-132.940222,51.8043824,186.0781276
159.875,28.2491978,-144.9188998,-17.484652399999998,-0.499588,-0.2785094,0.8700301999999999,-17.646976000000002,21.4901712,-176.73910240000004,16.180337,34.3750234,-8.1306634,-0.9862828,-0.1387236,-0.204881,-151.7530822,75.4197418,8.0155908,148.67823568073032,1.041205169284325,38.85296933965557,1.0168452305704148,-134.1061062,53.92957060000001,184.7546932
179.859,20.8348528,-145.62359020000002,-16.0635098,-0.4547872,-0.2676156,0.8815728,-17.019781000000002,18.6747486,-176.14012480000002,15.903879400000005,35.2296578,-10.3171372,-0.9896558,-0.1464252,-0.2116925999999999,-151.9560822,74.7032104,7.4710126,147.98093614053772,1.0274337488845886,40.00631810949952,1.0225813897012992,-134.9363012,56.0284618,183.6111374
199.843,13.992259,-146.0910156,-15.3847946,-0.411996,-0.2678592,0.8974904,-16.5668584,15.852481,-175.56363240000002,14.3474208,35.9583412,-13.5384536,-0.985201,-0.1389866,-0.2233025999999999,-152.00853579999998,73.9460006,7.1156098,147.5637491250704,1.0232195625244858,41.013906316604896,1.0197069856323042,-135.4416774,58.0935196,182.6792422
219.828,8.875384400000002,-146.65725700000002,-14.326831,-0.3704928,-0.2629704,0.905725,-16.2445526,13.0271202,-174.9915346,11.53277,35.096814800000004,-17.3389864,-0.9884472,-0.1434532,-0.236151,-151.8523408,73.1688766,7.0360348,147.62242907334365,1.013289752120784,40.80970034633658,1.0263400910902196,-135.60778820000002,60.1417564,182.0275694
239.812,4.543113,-146.98039839999998,-13.5112606,-0.3181498,-0.2523122,0.9183502,-16.031343,10.1959008,-174.4202578,8.4383994,33.832657,-20.2489964,-0.9946306,-0.1385337999999999,-0.2496934,-151.5798646,72.390013,7.1449348,147.67000898135885,1.0041154472215434,40.322166600032574,1.0348084065189846,-135.54852160000002,62.194112200000006,181.5651926
259.797,0.2898826,-146.8662504,-12.8549126,-0.2636623999999999,-0.2479494,0.9143488,-15.9306144,7.367114199999999,-173.8507722,4.104818799999999,30.3352128,-21.3130156,-0.9969982000000002,-0.1492946,-0.2573004,-151.23854980000002,71.6640732,7.417063799999999,147.4280445384491,0.9833770864706782,37.3003928527296,1.040431537503819,-135.3079354,64.296959,181.267836
279.781,-2.8612088,-146.50507199999998,-12.628009,-0.2053919999999999,-0.2535353999999999,0.9190824,-15.9244022,4.5401686,-173.28561399999998,1.2933638000000005,25.994376,-19.0158674,-0.9874584,-0.1477959999999999,-0.2613178,-150.963559,71.040561,7.679083800000001,147.07613419187513,0.9752838205911754,32.23326831897301,1.0320875650560857,-135.0391568,66.5003924,180.9646978
299.766,-4.5574710000000005,-145.8842224,-12.1011932,-0.1421571999999999,-0.2418314,0.9069062,-15.974152800000002,1.7208176000000002,-172.714798,-1.4371914,20.5107212,-16.1575446,-0.9906032,-0.155162,-0.265857,-150.7384826,70.5430832,7.9459518,146.45619059647913,0.9492997161783208,26.14997993814436,1.0373282462862177,-134.76432979999998,68.8222656,180.6607498
319.75,-6.4526384000000006,-144.5278808,-12.620317,-0.0796306,-0.242189,0.8973656,-16.0893304,-1.082874,-172.1587586,-3.8357064,15.2422534,-13.7405818,-0.9924452,-0.158445,-0.2585348,-150.542688,70.16824340000001,8.232892,145.2212700400346,0.9328781079223158,20.87684172712204,1.037734328158744,-134.4533576,71.2511174,180.3916506
