Timestamp (ms),Wrist Gyroscope X (deg/s),Wrist Gyroscope Y (deg/s),Wrist Gyroscope Z (deg/s),Wrist Accelerometer X (g),Wrist Accelerometer Y (g),Wrist Accelerometer Z (g),Wrist Roll (deg),Wrist Pitch (deg),Wrist Yaw (deg),Arm Gyroscope X (deg/s),Arm Gyroscope Y (deg/s),Arm Gyroscope Z (deg/s),Arm Accelerometer X (g),Arm Accelerometer Y (g),Arm Accelerometer Z (g),Arm Roll (deg),Arm Pitch (deg),Arm Yaw (deg),Wrist Gyroscope Magnitude (deg/s),Wrist Accelerometer Magnitude (g),Arm Gyroscope Magnitude (deg/s),Arm Accelerometer Magnitude (g),Difference Roll (deg),Difference Pitch (deg),Difference Yaw (deg)
0.0,-1.46619,-0.748812,0.852226,-0.954087,0.06945,0.17643,21.317747,79.042259,-119.454536,-3.35399,-1.158891,2.403542,-0.958496,0.135696,0.15891,46.254196,78.104065,18.468491,1.8538397132762048,0.9727450081953646,4.28594113535697,0.9810098748391884,24.936449,-0.9381939999999958,137.923027
19.996,-0.7056645,-0.3236185,0.7436325,-0.964008,0.0772175,0.182575,21.3665905,79.036125,-119.4040565,-1.4608775,-1.0198455,2.9736315,-0.9705375,0.1310445,0.165694,46.293169,78.071701,18.5062315,1.0750258672044826,0.9841786407940634,3.4665158605823154,0.9932624031556316,24.9265785,-0.964423999999994,137.91028799999998
39.975,-0.8725416666666668,0.2735953333333333,0.6384823333333334,-0.971828,0.0724093333333333,0.1818806666666666,21.399632,79.04252100000001,-119.36256666666668,-0.4089286666666667,-0.5460496666666667,3.133857666666666,-0.9786966666666668,0.122762,0.1640553333333333,46.362358,78.05055733333334,18.566477000000003,1.1152771209300405,0.9913492573482308,3.2072506555949127,0.9999159096561848,24.962726000000004,-0.9919636666666634,137.92904366666667
59.963,-1.24252425,1.0191145,0.98259625,-0.98019025,0.06870675,0.1838465,21.4717935,79.05693425,-119.27398875,0.693128,-0.2758752499999999,3.30874775,-0.98747775,0.119069,0.1619027499999999,46.46214775,78.03214625,18.643953,1.8836019394931551,0.9996464771372304,3.391805603373611,1.0077213076856244,24.990354250000003,-1.0247879999999974,137.91794175
79.95,-2.0946392,1.6320736,1.4096652,-0.9866636,0.067031,0.1836678,21.577521,79.07658219999999,-119.1348038,1.2838296,-0.4063846,3.104837,-0.9901546,0.1266576,0.1589378,46.5534898,78.0118086,18.7077138,3.006382143055776,1.005848932634916,3.3842842199676904,1.0107964700214185,24.9759688,-1.064773599999998,137.8425176
99.937,-3.1104594,2.6631918,1.6580224,-0.9950168,0.0686788,0.1864762,21.7630652,79.1108596,-118.8817094,2.0786226,-0.6398846,2.9614662,-0.9964494,0.1436534,0.1522456,46.7102258,77.9620618,18.8269764,4.417758087711159,1.014666734951984,3.674289899870499,1.0181976374021304,24.9471606,-1.148797799999997,137.7086858
119.925,-5.505825199999999,2.8745230000000004,1.7952376,-0.9999702,0.0671654,0.1834998,21.9196994,79.150038,-118.6090836,0.3515975999999998,-0.9663922,2.2090434,-0.9942784,0.1647645999999999,0.1375694,46.828238000000006,77.91606120000002,18.9389766,6.465282024083543,1.0188835892511177,2.4366796054529125,1.0171834888239584,24.908538600000004,-1.2339767999999964,137.5480602
139.912,-7.747503399999999,2.1600810000000004,1.8079638,-0.9985446,0.0695754,0.1795954,22.0151452,79.1767974,-118.3522278,-2.7668994,-1.4614666,1.2490338,-0.9872758,0.1828278,0.1226296,46.8516564,77.8752624,19.0152132,8.243694072543146,1.0169496360073491,3.369228746490561,1.011522381618242,24.8365112,-1.3015349999999954,137.367441
159.899,-9.8107356,0.4602784,1.4476936,-0.9941746,0.0727112,0.1776324,21.9802362,79.1741622,-118.1848328,-5.649135199999999,-1.9386822,0.2502948,-0.9785758,0.19393,0.1126843999999999,46.7615668,77.8412186,19.0325362,9.92764856237845,1.0125331221349552,5.977780914970279,1.0039508032015314,24.7813306,-1.332943599999996,137.21736900000002
179.887,-11.9715968,-2.023191,0.7491586000000002,-0.9874048,0.0736326,0.178305,21.7448424,79.1291198,-118.176265,-7.8537954,-2.256698,-0.5506362,-0.9732558,0.1942976,0.1109195999999999,46.5609144,77.8145814,18.9815974,12.164442871426754,1.0060728959030751,8.190115278371582,0.99863985863952,24.816072,-1.314538399999995,137.1578624
199.874,-14.1094738,-4.7348336,0.2798286000000001,-0.9814154,0.0712906,0.1755688,21.322219,79.0385696,-118.3140884,-9.7326878,-2.4005244,-1.4257064,-0.9688514,0.1806884,0.1206627999999999,46.21709500000001,77.799837,18.8244808,14.885368795496918,0.9995413650964926,10.125234216859637,0.9929153259368896,24.894876000000004,-1.2387325999999974,137.1385692
219.862,-14.5853022,-6.3531336000000005,-0.1522103999999999,-0.9745722,0.070999,0.1795446,20.7926192,78.91887820000001,-118.5501618,-9.7046766,-2.6086988,-1.85333,-0.969077,0.1613286,0.1357151999999999,45.7724074,77.79010339999999,18.5663438,15.909635910687648,0.9935130066602048,10.218653992997757,0.9917437998888624,24.9797882,-1.1287747999999993,137.1165056
239.849,-15.140805,-7.1354582,-0.6251977999999999,-0.9719586,0.067713,0.1821444,20.1783892,78.7876816,-118.8626512,-7.8412638,-2.5927336,-2.0233218,-0.9694666,0.1462202,0.1480919999999999,45.3063988,77.784099,18.2504316,16.74961528098771,0.9911938019047132,8.503029848713613,0.9915528608539234,25.1280096,-1.0035825999999983,137.1130828
259.836,-15.1125132,-7.0455856,-0.7180441999999999,-0.9693176,0.0656366,0.182318,19.566355,78.6597946,-119.1755998,-6.031316600000001,-2.277178,-2.0084754,-0.9689018,0.1375077999999999,0.1574747999999999,44.867473,77.78188500000002,17.9265556,16.689635081099144,0.988496143671446,6.752502721622904,0.9911999827174736,25.301118,-0.8779095999999982,137.1021554
279.824,-14.1360186,-6.1922742,-0.7360233999999999,-0.9681008,0.0646988,0.1818912,19.0131674,78.54914699999999,-119.4501512,-3.933743600000001,-1.9386858000000005,-1.7291104000000002,-0.9694502,0.1321553999999999,0.1663342,44.4882196,77.778885,17.621826199999997,15.450340192787962,0.987162348511895,4.714092077701789,0.9924544352859934,25.4750522,-0.7702619999999968,137.0719774
299.811,-12.1963734,-4.7766956,-0.8181269999999999,-0.968394,0.0640028,0.1877544,18.541401200000003,78.46352979999999,-119.6823274,-1.621954,-1.481257,-1.1745024,-0.9725852,0.1331275999999999,0.1680138,44.2238664,77.7736756,17.387213,13.123935261780892,0.9885013972489872,2.490845833400927,0.9959284944870488,25.682465200000003,-0.6898541999999963,137.0695404
319.799,-10.7932946,-3.6080182,-0.730753,-0.972871,0.0611558,0.1896204,18.141612400000003,78.400151,-119.8708618,-0.3637148,-1.0304016000000005,-0.9243998,-0.974548,0.1365832,0.1655635999999999,44.0440164,77.7710922,17.212671,11.403815308962583,0.9930628935826772,1.4312689835462935,0.9979028411980798,25.902404,-0.6290587999999957,137.0835328
339.786,-9.106691,-2.5691028000000005,-0.3844015999999999,-0.9751206,0.0614321999999999,0.1934742,17.8427838,78.3528288,-119.9922118,-0.2674037999999999,-0.9228214,-0.7883283999999999,-0.9765722,0.1437414,0.1647112,43.8991914,77.76578520000001,17.0712198,9.469945868722345,0.9960252837186616,1.2428056142450274,1.0007420403341911,26.0564076,-0.5870435999999956,137.0634316
359.773,-7.9899182,-1.853977,-0.4439105999999999,-0.9763814,0.0603754,0.1938758,17.5833206,78.3199676,-120.0973616,-0.572373,-1.0572782,-0.8493373999999999,-0.9767358,0.1527762,0.1596976,43.7641496,77.75790400000001,16.944710800000003,8.214199911130274,0.9972731085398624,1.4720129287350026,1.0014273382197232,26.180829,-0.5620635999999962,137.0420724
379.761,-6.840988,-1.4313090000000002,-0.5922999999999998,-0.9761662,0.0587382,0.1914948,17.347004199999997,78.2977996,-120.205786,-1.6296334,-0.6525000000000001,-1.0618708,-0.9738328,0.158675,0.1484596,43.65341500000001,77.760823,16.8631582,7.01417005494057,0.996504332448545,2.0515922753530247,0.9977817049901244,26.3064108,-0.536976599999997,137.0689442
399.748,-6.0493312,-1.4379152000000002,-0.7492639999999999,-0.9779786,0.0561168,0.1861111999999999,17.112660400000003,78.28006280000001,-120.3338088,-2.1180214,-0.0967646000000002,-1.1991142,-0.9733762,0.153124,0.141972,43.5613054,77.778337,16.8105514,6.26285914190799,0.9971101323653472,2.435826944450849,0.995522091611452,26.448645,-0.501725799999997,137.1443602
419.736,-4.7031796,-1.2966906000000002,-1.1861867999999998,-0.975626,0.0544636,0.1823342,16.8704872,78.269673,-120.5028046,-0.6884094,0.5718623999999999,-1.0894588,-0.9731634,0.1473998,0.1454798,43.530596200000005,77.8045776,16.792253600000002,5.020791171367194,0.9940111347920608,1.409912970165024,0.9949563188138664,26.660109,-0.4650953999999984,137.2950582
439.723,-3.4189116,-0.7870714,-1.653913,-0.9756826,0.0532104,0.1800716,16.625721,78.2731902,-120.6983704,1.4140668,1.3231413999999997,-0.8744154,-0.9757596,0.1425332,0.1549352,43.5770272,77.8368698,16.8110524,3.878642304838321,0.9935862638631232,2.124827139089992,0.9982121148801192,26.9513062,-0.4363203999999996,137.5094228
459.711,-2.0854601999999995,0.4448416,-2.0434934,-0.974376,0.0522922,0.179755,16.404794000000003,78.30264100000001,-120.894989,2.8397274,2.1368637999999995,-0.927285,-0.9757508,0.1338316,0.1663484,43.66111600000001,77.880107,16.8409554,2.953454514753556,0.9921970185310174,3.672886613725803,0.9988354774645122,27.256322,-0.4225339999999988,137.73594440000002
479.698,-0.9983062,2.40417,-2.3210826,-0.9720568,0.0524908,0.1803648,16.2341932,78.37031999999999,-121.0606978,4.5254164,2.8402646,-0.8488626,-0.9756012,0.1262844,0.1747906,43.7980668,77.93143760000001,16.8918412,3.4877031258238134,0.9900409928835876,5.40990427873552,0.9991482397388088,27.5638736,-0.4388823999999999,137.952539
499.686,-0.3904912,4.7563968,-2.5993824,-0.9682936,0.05232,0.1778054,16.1155088,78.48508899999999,-121.184497,6.0415684,3.5902666,-0.8018088000000001,-0.9698654,0.1288384,0.1761732,44.0196296,77.99003280000001,16.9981316,5.434388903801184,0.9858725264810456,7.073433419684641,0.9941203266355436,27.9041208,-0.4950562000000019,138.1826286
519.673,0.5885900000000001,7.145138200000001,-2.6773054000000003,-0.9637344,0.0508722,0.1750014,16.071773999999998,78.64631940000001,-121.2515532,6.5213246,4.670435199999999,-0.7169266000000001,-0.9650862,0.1333036,0.1711476,44.3457992,78.0618194,17.2007912,7.652934227475656,0.9808146942609292,8.05323681793549,0.989167692653354,28.2740252,-0.5844999999999999,138.4523444
539.66,2.2303414,9.4827518,-2.8233106,-0.9609402,0.0528189999999999,0.1740765999999999,16.117971200000003,78.85163560000001,-121.26796399999998,7.323587399999999,6.0899508,-0.6533084,-0.9589792,0.1360664,0.1625724,44.8096106,78.1533186,17.5268154,10.142390606017376,0.9780074526324428,9.547211373870905,0.9821328609120864,28.691639400000003,-0.6983170000000001,138.79477939999998
