Timestamp (ms),Wrist Gyroscope X (deg/s),Wrist Gyroscope Y (deg/s),Wrist Gyroscope Z (deg/s),Wrist Accelerometer X (g),Wrist Accelerometer Y (g),Wrist Accelerometer Z (g),Wrist Roll (deg),Wrist Pitch (deg),Wrist Yaw (deg),Arm Gyroscope X (deg/s),Arm Gyroscope Y (deg/s),Arm Gyroscope Z (deg/s),Arm Accelerometer X (g),Arm Accelerometer Y (g),Arm Accelerometer Z (g),Arm Roll (deg),Arm Pitch (deg),Arm Yaw (deg),Wrist Gyroscope Magnitude (deg/s),Wrist Accelerometer Magnitude (g),Arm Gyroscope Magnitude (deg/s),Arm Accelerometer Magnitude (g),Difference Roll (deg),Difference Pitch (deg),Difference Yaw (deg)
0.0,10.009209,-12.57039,3.368331,-0.926204,0.238572,0.326119,45.471706,64.365135,-77.65358,0.75929,-9.879904,4.582299,-0.842059,0.175794,-0.459808,148.111038,61.862297,36.52515,16.41781420540938,1.010506828755254,10.917256453831108,0.97539237580627,102.639332,-2.502837999999997,114.17873
19.984,10.0642785,-14.2415965,3.769887,-0.937024,0.2595435,0.3222939999999999,45.380455,64.23211649999999,-77.8685725,2.5790675,-11.231131,6.0915675,-0.8501925,0.175975,-0.465763,147.971115,61.919811,36.300949,17.8416596926167,1.0243291596963595,13.034457691663796,0.985256139209622,102.59066,-2.312305499999997,114.1695215
39.969,9.045219666666666,-15.987533666666666,4.189146999999999,-0.944951,0.2601666666666666,0.3273246666666666,45.234662333333326,64.07994566666666,-78.11658999999999,3.248789,-11.413634,6.654753666666667,-0.8512736666666667,0.184952,-0.4676943333333334,147.82666533333335,61.96864300000001,36.072429666666665,18.840546280526542,1.0333249848203074,13.605565677930867,0.9887426800215628,102.592003,-2.1113026666666648,114.18901966666664
59.953,8.257136,-17.5366155,5.1543005,-0.95124325,0.271347,0.32866675,45.08621775,63.9004905,-78.35554125,1.4765502499999998,-11.6789595,6.7728392500000005,-0.857568,0.19777425,-0.4679415,147.631302,62.01914,35.8364095,20.05691880029524,1.0423601813361467,13.58122406669428,0.9967481005797364,102.54508425,-1.881350499999998,114.19195075
79.946,6.7523616,-18.92771,6.097740399999999,-0.9598388,0.2722914,0.3377268,44.9056532,63.6991414,-78.59844819999999,-1.2392610000000002,-11.4866424,6.505749799999999,-0.8685832,0.1927588,-0.4675566,147.4128144,62.0730956,35.6285468,21.000834055033305,1.053324508372249,13.259091292837484,1.0050880083372002,102.5071612,-1.6260457999999989,114.226995
99.922,4.5502092,-21.9144628,7.844712799999999,-0.9808698,0.2831302,0.3528273999999999,44.549285,63.295735,-79.0807144,-4.383579,-11.259335,6.52334,-0.8874639999999999,0.1993242,-0.4722606,146.9937562,62.1746658,35.227002000000006,23.71682108738084,1.0801645471384629,13.731072581814791,1.0248670949513403,102.4444712,-1.1210691999999995,114.3077164
119.907,1.6752371999999998,-25.15055,9.3408946,-0.9952346,0.2833594,0.3610918,44.101061,62.827935,-79.59513079999999,-9.1911778,-10.2162778,5.5940008,-0.9000208000000001,0.221547,-0.4767349999999999,146.5110688,62.262684,34.8665046,26.88138569544124,1.095979811234112,14.837214239485332,1.04230359006704,102.4100078,-0.5652509999999993,114.4616354
139.892,-0.3743642000000002,-28.273905199999994,11.062915,-1.0050586,0.2943696,0.3522836,43.6148152,62.29562,-80.105844,-15.958159599999998,-9.271429,3.9248146,-0.9078192,0.2411836,-0.4811376,145.9509826,62.3467622,34.5747038,30.36349703361017,1.104943430980555,18.868662463605794,1.0553665803555463,102.3361674,0.0511421999999996,114.6805478
159.876,-3.8703822,-30.9411094,12.3361924,-1.000111,0.2855298,0.3572948,43.038168,61.7103326,-80.63899380000001,-24.0890712,-7.5093768,1.4184632,-0.9156844,0.2434867999999999,-0.4769726,145.342874,62.4314746,34.412403,33.53377032495247,1.099731264044121,25.272240285594037,1.0607858423491332,102.304706,0.721141999999999,115.0513968
179.861,-6.0710142,-32.95652,13.585251599999998,-0.9738346,0.2842714,0.3621844,42.422842200000005,61.0742448,-81.166185,-31.779335000000003,-5.5254478,-1.4355534,-0.9178372,0.2515904,-0.461988,144.6996916,62.519743600000005,34.38712160000001,36.16003989160277,1.0771915320027723,32.28803989091009,1.057901586736687,102.2768494,1.4454987999999986,115.5533066
199.845,-8.0439106,-33.8448666,13.9359564,-0.9256818,0.2822452,0.3591304,41.783309,60.4132874,-81.6751618,-38.9458762,-3.8954684,-4.3848486,-0.9150672,0.2571218,-0.4276662,144.0174804,62.626465800000005,34.4848212,37.47519677994085,1.0322421188744624,39.38505864266355,1.0422849798272638,102.2341714,2.2131783999999994,116.159983
